title,author
rg Sto&szlig,Hans-J&ouml
Partial (Set) 2-Structures. Part II: State Spaces of Concurrent Systems.,Andrzej Ehrenfeucht
Partial (Set) 2-Structures. Part II: State Spaces of Concurrent Systems.,Grzegorz Rozenberg
n-Vide,Victor Mitrana,Masami Ito
n-Vide,Victor Mitrana,Carlos Mart&iacute
Storage Schemes for Boundedly Extendible Arrays.,Arnold L. Rosenberg
Storage Schemes for Boundedly Extendible Arrays.,Larry J. Stockmeyer
 Srba,Jir&iacute
Deriving Graphs from Graphs by Applying a Production.,Barry K. Rosen
A Faster Approximation Algorithm for the Steiner Problem in Graphs.,Ying-Fung Wu
A Faster Approximation Algorithm for the Steiner Problem in Graphs.,Peter Widmayer
A Faster Approximation Algorithm for the Steiner Problem in Graphs.,C. K. Wong
A trace-based service semantics guaranteeing deadlock freedom.,Christian Stahl
A trace-based service semantics guaranteeing deadlock freedom.,Walter Vogler
vara,Peter Ruzicka
vara,Igor Pr&iacute
lsmann,Gunter Saake,Klaus H&uuml
On the Complexity of Some Problems Concerning the Use of Procedures I.,Karl Winklmann
A typed encoding of boxed into safe ambients.,Francesca Levi
Final and sequential behaviours of M-automata.,Gabriel Ciobanu
Final and sequential behaviours of M-automata.,Sergiu Rudeanu
An Analysis and Implementation of an Efficient In-Place Bucket Sort.,Apostolos Burnetas
An Analysis and Implementation of an Efficient In-Place Bucket Sort.,Daniel Solow
An Analysis and Implementation of an Efficient In-Place Bucket Sort.,Rishi Agarwal
Editorial: special issue on synthesis.,Doron A. Peled
Editorial: special issue on synthesis.,Sven Schewe
Constructing a Theory of a Data Structure as an Aid to Program Development.,Cliff B. Jones
On Fast Multiplication of Polynomials over Arbitrary Algebras.,David G. Cantor
On Fast Multiplication of Polynomials over Arbitrary Algebras.,Erich Kaltofen
Specification and Proving of Command Programs.,Erich J. Neuhold
Specification and Proving of Command Programs.,T. Weller
Generating Boolean mu-Expressions.,Thomas Eiter
Axiomatic Data Type Specifications: A First Order Theory of Linear Lists.,Daniel J. Moore
Axiomatic Data Type Specifications: A First Order Theory of Linear Lists.,Bruce Russell
Modular Correctness Proofs of Behavioural Implementations.,Michel Bidoit
Modular Correctness Proofs of Behavioural Implementations.,Rolf Hennicker
Parallel PROFIT/COST Algorithms Through Fast Derandomization.,Yijie Han
Parallel PROFIT/COST Algorithms Through Fast Derandomization.,Yoshihide Igarashi
A Distributed Operational Semantics for CCS Based on Condition/Event Systems.,Pierpaolo Degano
A Distributed Operational Semantics for CCS Based on Condition/Event Systems.,Rocco De Nicola
A Distributed Operational Semantics for CCS Based on Condition/Event Systems.,Ugo Montanari
A Performance Guarantee for the Greedy Set-Partitioning Algorithm.,Edward G. Coffman Jr.
A Performance Guarantee for the Greedy Set-Partitioning Algorithm.,Michael A. Langston
Iterated Deterministic Substitution.,Peter R. J. Asveld
Iterated Deterministic Substitution.,Joost Engelfriet
On the Max-Entropy Rule for a Binary Search Tree.,Yasuichi Horibe
On the Max-Entropy Rule for a Binary Search Tree.,Tibor O. H. Nemetz
Computation and Use of Data Flow Information in Optimizing Compilers.,Reinhard Wilhelm
gnier,Hosam M. Mahmoud
gnier,Philippe Flajolet
gnier,Philippe Jacquet
gnier,Mireille R&eacute
Remarks on the Complexity of an Invariant of Context-Free Grammars.,Thiet-Dung Huynh
A general exhaustive generation algorithm for Gray structures.,Antonio Bernini
A general exhaustive generation algorithm for Gray structures.,Elisabetta Grazzini
A general exhaustive generation algorithm for Gray structures.,Elisa Pergola
A general exhaustive generation algorithm for Gray structures.,Renzo Pinzani
Least common container of tree pattern queries and its applications.,Junhu Wang
Least common container of tree pattern queries and its applications.,Jeffrey Xu Yu
Least common container of tree pattern queries and its applications.,Chaoyi Pang
Least common container of tree pattern queries and its applications.,Chengfei Liu
llenburg,Andreas Gemsa
llenburg,Jan-Henrik Haunert
llenburg,Martin N&ouml
TRIFL: A Generic Trajectory Index for Flash Storage.,Dai Hai Ton That
TRIFL: A Generic Trajectory Index for Flash Storage.,Iulian Sandu Popa
TRIFL: A Generic Trajectory Index for Flash Storage.,Karine Zeitouni
A Server-Assigned Spatial Crowdsourcing Framework.,Hien To
A Server-Assigned Spatial Crowdsourcing Framework.,Cyrus Shahabi
A Server-Assigned Spatial Crowdsourcing Framework.,Leyla Kazemi
Tilewise Accumulated Cost Surface Computation with Graphics Processing Units.,Janne Kovanen
Tilewise Accumulated Cost Surface Computation with Graphics Processing Units.,Tapani Sarjakoski
Efficient Geo-Fencing via Hybrid Hashing: A Combination of Bucket Selection and In-Bucket Binary Search.,Suhua Tang
Efficient Geo-Fencing via Hybrid Hashing: A Combination of Bucket Selection and In-Bucket Binary Search.,Yi Yu
Efficient Geo-Fencing via Hybrid Hashing: A Combination of Bucket Selection and In-Bucket Binary Search.,Roger Zimmermann
Efficient Geo-Fencing via Hybrid Hashing: A Combination of Bucket Selection and In-Bucket Binary Search.,Sadao Obana
Generating Moving Regions from Snapshots of Complex Regions.,Mark McKenney
Generating Moving Regions from Snapshots of Complex Regions.,Roger Frye
A Path-Based Distance for Street Map Comparison.,Mahmuda Ahmed
A Path-Based Distance for Street Map Comparison.,Brittany Terese Fasy
A Path-Based Distance for Street Map Comparison.,Kyle S. Hickmann
A Path-Based Distance for Street Map Comparison.,Carola Wenk
ting,Fabio Vald&eacute,Ralf Hartmut G&uuml
The effect of bi-component acrylate prepolymers on the phase separation and electro-optical properties of pixel-isolated liquid crystals.,Shi-Joon Sung
The effect of bi-component acrylate prepolymers on the phase separation and electro-optical properties of pixel-isolated liquid crystals.,Eun-Ae Jung
The effect of bi-component acrylate prepolymers on the phase separation and electro-optical properties of pixel-isolated liquid crystals.,Dae-Ho Son
The effect of bi-component acrylate prepolymers on the phase separation and electro-optical properties of pixel-isolated liquid crystals.,Dae-Hwan Kim
The effect of bi-component acrylate prepolymers on the phase separation and electro-optical properties of pixel-isolated liquid crystals.,Jin-Kyu Kang
The effect of bi-component acrylate prepolymers on the phase separation and electro-optical properties of pixel-isolated liquid crystals.,Kuk Young Cho
Emission and charge transport properties of thiophene-terminated thiophene/phenylene co-oligomer crystals.,Yusaku Sakurai
Emission and charge transport properties of thiophene-terminated thiophene/phenylene co-oligomer crystals.,Junichi Yamamoto
Emission and charge transport properties of thiophene-terminated thiophene/phenylene co-oligomer crystals.,Takeshi Yamao
Emission and charge transport properties of thiophene-terminated thiophene/phenylene co-oligomer crystals.,Shu Hotta
Instrumented film-insert injection compression molding for lens encapsulation of liquid crystal displays.,Isik Isil Nugay
Instrumented film-insert injection compression molding for lens encapsulation of liquid crystal displays.,Miko Cakmak
The enhanced navigator for the touch screen: A comparative study on navigational techniques of web maps.,Fong-Gong Wu
The enhanced navigator for the touch screen: A comparative study on navigational techniques of web maps.,Hsuan Lin
The enhanced navigator for the touch screen: A comparative study on navigational techniques of web maps.,Manlai You
Green organic light-emitting diodes with improved stability and efficiency utilizing a wide band gap material as the host.,Hao Tang
Green organic light-emitting diodes with improved stability and efficiency utilizing a wide band gap material as the host.,Xiuru Wang
Green organic light-emitting diodes with improved stability and efficiency utilizing a wide band gap material as the host.,Ying Li
Green organic light-emitting diodes with improved stability and efficiency utilizing a wide band gap material as the host.,Wengen Wang
Green organic light-emitting diodes with improved stability and efficiency utilizing a wide band gap material as the host.,Runguang Sun
Dry etch damage and recovery of gallium indium zinc oxide thin-film transistors with etch-back structures.,Jae-Chul Park
Dry etch damage and recovery of gallium indium zinc oxide thin-film transistors with etch-back structures.,Ho-Nyeon Lee
s&auml,Tomas Lindberg
s&auml,Risto N&auml
Paired comparisons in visual perception studies using small sample sizes.,Rosemarie Rajae-Joordens
Paired comparisons in visual perception studies using small sample sizes.,Jan Engel
dric Cochrane,Vladan Koncar,Fern M. Kelly
dric Cochrane,Vladan Koncar,Ludivine Meunier
dric Cochrane,Vladan Koncar,C&eacute
Spectral studies of white organic light-emitting devices based on multi-emitting layers.,M. A. Khan
Spectral studies of white organic light-emitting devices based on multi-emitting layers.,Wei Xu
Spectral studies of white organic light-emitting devices based on multi-emitting layers.,Jin Cao
Spectral studies of white organic light-emitting devices based on multi-emitting layers.,Yu Bai
Spectral studies of white organic light-emitting devices based on multi-emitting layers.,W. Q. Zhu
Spectral studies of white organic light-emitting devices based on multi-emitting layers.,X. Y. Jiang
Spectral studies of white organic light-emitting devices based on multi-emitting layers.,Zh. L. Zhang
Effect of the display medium of a mammogram on microcalcification - diagnostic performance and the subjective preference of radiologists according to differing professional experience.,Kwo-Whei Lee
Effect of the display medium of a mammogram on microcalcification - diagnostic performance and the subjective preference of radiologists according to differing professional experience.,An-Hsiang Wang
Effect of the display medium of a mammogram on microcalcification - diagnostic performance and the subjective preference of radiologists according to differing professional experience.,J. C. Fu
Effect of the display medium of a mammogram on microcalcification - diagnostic performance and the subjective preference of radiologists according to differing professional experience.,Jung-Tsung Kuo
Effect of the display medium of a mammogram on microcalcification - diagnostic performance and the subjective preference of radiologists according to differing professional experience.,Cheng-Tung Sun
Effect of the display medium of a mammogram on microcalcification - diagnostic performance and the subjective preference of radiologists according to differing professional experience.,Hwa-Koon Wu
Effect of the display medium of a mammogram on microcalcification - diagnostic performance and the subjective preference of radiologists according to differing professional experience.,Albert D. Yang
l&ouml,Monika P&ouml
A new compensation pixel circuit with all-p-type TFTs for AMOLED displays.,Ri-Hui Yao
A new compensation pixel circuit with all-p-type TFTs for AMOLED displays.,Li-Rong Zhang
A new compensation pixel circuit with all-p-type TFTs for AMOLED displays.,Lei Zhou
A new compensation pixel circuit with all-p-type TFTs for AMOLED displays.,Wei-Jing Wu
Implementation of 21: 9 cinema mode function using two ICs supporting full HD resolution.,Jae-Geun Hong
Implementation of 21: 9 cinema mode function using two ICs supporting full HD resolution.,Hae Chung
Implementation of 21: 9 cinema mode function using two ICs supporting full HD resolution.,Byung-Gyu Kim
Implementation of 21: 9 cinema mode function using two ICs supporting full HD resolution.,Kye-Shin Lee
A study of the relationship between color-concept association and occupational background for Chinese.,Hailiang Wang
A study of the relationship between color-concept association and occupational background for Chinese.,Calvin K. L. Or
Saccade detection during smooth tracking.,Dorion B. Liston
Saccade detection during smooth tracking.,Anton E. Krukowski
Saccade detection during smooth tracking.,Leland S. Stone
The Spectral Radiance Piecewise Partition Model for characterizing Liquid Crystal Displays.,Tian Quanhui
The Spectral Radiance Piecewise Partition Model for characterizing Liquid Crystal Displays.,Liu Zhen
The Spectral Radiance Piecewise Partition Model for characterizing Liquid Crystal Displays.,Yu Haiqi
The Spectral Radiance Piecewise Partition Model for characterizing Liquid Crystal Displays.,Zhao Daomu
The Spectral Radiance Piecewise Partition Model for characterizing Liquid Crystal Displays.,Liu Shiwei
n,Jos&eacute,Alfonso Gago-Calder&oacute
Visual strategies for the control of steering toward a goal.,Li Li
Visual strategies for the control of steering toward a goal.,Joseph C. K. Cheng
Investigation of Curtain Mura in TFT-TN panels after COG ACF process.,Sheng-Ya Wang
Investigation of Curtain Mura in TFT-TN panels after COG ACF process.,Wei-Hsiang Liao
Investigation of Curtain Mura in TFT-TN panels after COG ACF process.,Kei-Hsiung Yang
Study on the influences of quantum well structure on the performance of organic light emitting devices.,Haina Zhu
Study on the influences of quantum well structure on the performance of organic light emitting devices.,Zheng Xu
Study on the influences of quantum well structure on the performance of organic light emitting devices.,Su Ling Zhao
Study on the influences of quantum well structure on the performance of organic light emitting devices.,Fujun Zhang
Study on the influences of quantum well structure on the performance of organic light emitting devices.,Liyan Gao
Study on the influences of quantum well structure on the performance of organic light emitting devices.,Chao Kong
Study on the influences of quantum well structure on the performance of organic light emitting devices.,Guang Yan
Study on the influences of quantum well structure on the performance of organic light emitting devices.,Yongsheng Wang
Cell parameter extraction method for AC plasma display panels.,S. Y. Soh
Cell parameter extraction method for AC plasma display panels.,S. H. Kim
Cell parameter extraction method for AC plasma display panels.,J. W. Seo
Cell parameter extraction method for AC plasma display panels.,Y. K. Jung
Cell parameter extraction method for AC plasma display panels.,B. K. Kang
Non-doped white organic light-emitting diodes consisting of three primary colors based on a bipolar emitter.,Zhu Ma
Non-doped white organic light-emitting diodes consisting of three primary colors based on a bipolar emitter.,Junsheng Yu
Non-doped white organic light-emitting diodes consisting of three primary colors based on a bipolar emitter.,Lu Li
Non-doped white organic light-emitting diodes consisting of three primary colors based on a bipolar emitter.,Yadong Jiang
Structure and application of polarizer film for thin-film-transistor liquid crystal displays.,Ji Ma
Structure and application of polarizer film for thin-film-transistor liquid crystal displays.,Xin Ye
Structure and application of polarizer film for thin-film-transistor liquid crystal displays.,Bo Jin
VITAL: An electromagnetic integrated tactile display.,Mohamed Benali-Khoudja
VITAL: An electromagnetic integrated tactile display.,Moustapha Hafez
VITAL: An electromagnetic integrated tactile display.,Abderrahmane Kheddar
Flexible transparent electrodes made of electrochemically exfoliated graphene sheets from low-cost graphite pieces.,Chuen-Ming Gee
Flexible transparent electrodes made of electrochemically exfoliated graphene sheets from low-cost graphite pieces.,Chien-Chih Tseng
Flexible transparent electrodes made of electrochemically exfoliated graphene sheets from low-cost graphite pieces.,Feng-Yu Wu
Flexible transparent electrodes made of electrochemically exfoliated graphene sheets from low-cost graphite pieces.,Hsin-Ping Chang
Flexible transparent electrodes made of electrochemically exfoliated graphene sheets from low-cost graphite pieces.,Lain-Jong Li
Flexible transparent electrodes made of electrochemically exfoliated graphene sheets from low-cost graphite pieces.,Ya-Ping Hsieh
Flexible transparent electrodes made of electrochemically exfoliated graphene sheets from low-cost graphite pieces.,Cheng-Te Lin
Flexible transparent electrodes made of electrochemically exfoliated graphene sheets from low-cost graphite pieces.,Jyh-Chen Chen
A quantitative measurement of LCD and PDP TVs for human visual preference and fatigue.,Hwally Lee
A quantitative measurement of LCD and PDP TVs for human visual preference and fatigue.,Ki-Woong Whang
Investigation of technological trends in flexible display fabrication through patent analysis.,Pao-Long Chang
Investigation of technological trends in flexible display fabrication through patent analysis.,Chao-Chan Wu
Investigation of technological trends in flexible display fabrication through patent analysis.,Hoang-Jyh Leu
l&ouml,Monika P&ouml
,Zhenbo Deng,Ying Hou,Xiuli Zhang,Haisheng Xu,Zhaoyue L&uuml
LED brightness control for video display application.,Linas Svilainis
Introduction to editable visual object and its description schema for mobile applications.,Jiwon Lee
Introduction to editable visual object and its description schema for mobile applications.,Si-hwan Jang
Introduction to editable visual object and its description schema for mobile applications.,Sanghyun Joo
Novel voltage programming n-channel TFT pixel circuit for low power and high performance AMOLED displays.,Eunji Song
Novel voltage programming n-channel TFT pixel circuit for low power and high performance AMOLED displays.,Hyoungsik Nam
Nuancing the relationship between motion sickness and postural stability.,Jelte E. Bos
Quantitative evaluation of effects of visually-induced motion sickness based on causal coherence functions between blood pressure and heart rate.,Norihiro Sugita
Quantitative evaluation of effects of visually-induced motion sickness based on causal coherence functions between blood pressure and heart rate.,Makoto Yoshizawa
Quantitative evaluation of effects of visually-induced motion sickness based on causal coherence functions between blood pressure and heart rate.,Akira Tanaka
Quantitative evaluation of effects of visually-induced motion sickness based on causal coherence functions between blood pressure and heart rate.,Kenichi Abe
Quantitative evaluation of effects of visually-induced motion sickness based on causal coherence functions between blood pressure and heart rate.,Shigeru Chiba
Quantitative evaluation of effects of visually-induced motion sickness based on causal coherence functions between blood pressure and heart rate.,Tomoyuki Yambe
Quantitative evaluation of effects of visually-induced motion sickness based on causal coherence functions between blood pressure and heart rate.,Shin-ichi Nitta
Synthesis of Bi<sup>3+</sup> and Gd<sup>3+</sup> doped ZnB<sub>2</sub>O<sub>4</sub> for evaluation as potential materials in luminescent display applications.,Zhongfei Mu
Synthesis of Bi<sup>3+</sup> and Gd<sup>3+</sup> doped ZnB<sub>2</sub>O<sub>4</sub> for evaluation as potential materials in luminescent display applications.,Yihua Hu
Synthesis of Bi<sup>3+</sup> and Gd<sup>3+</sup> doped ZnB<sub>2</sub>O<sub>4</sub> for evaluation as potential materials in luminescent display applications.,Li Chen
Synthesis of Bi<sup>3+</sup> and Gd<sup>3+</sup> doped ZnB<sub>2</sub>O<sub>4</sub> for evaluation as potential materials in luminescent display applications.,Xiaojuan Wang
Synthesis of Bi<sup>3+</sup> and Gd<sup>3+</sup> doped ZnB<sub>2</sub>O<sub>4</sub> for evaluation as potential materials in luminescent display applications.,Ren Chen
Synthesis of Bi<sup>3+</sup> and Gd<sup>3+</sup> doped ZnB<sub>2</sub>O<sub>4</sub> for evaluation as potential materials in luminescent display applications.,Tao Wang
Synthesis of Bi<sup>3+</sup> and Gd<sup>3+</sup> doped ZnB<sub>2</sub>O<sub>4</sub> for evaluation as potential materials in luminescent display applications.,Yinrong Fu
Synthesis of Bi<sup>3+</sup> and Gd<sup>3+</sup> doped ZnB<sub>2</sub>O<sub>4</sub> for evaluation as potential materials in luminescent display applications.,Jinxuan Xu
Complete electrical and optical simulation of electronic paper.,Tom Bert
Complete electrical and optical simulation of electronic paper.,Herbert De Smet
Complete electrical and optical simulation of electronic paper.,Filip Beunis
Complete electrical and optical simulation of electronic paper.,Kristiaan Neyts
Optimization of sustain pulse parameters for luminous efficacy improvement in an AC plasma display panel.,Shashank Sharma
Optimization of sustain pulse parameters for luminous efficacy improvement in an AC plasma display panel.,A. K. Srivastava
Optimization of sustain pulse parameters for luminous efficacy improvement in an AC plasma display panel.,Harmeet Singh
Optimization of sustain pulse parameters for luminous efficacy improvement in an AC plasma display panel.,M. Raja
Optimization of sustain pulse parameters for luminous efficacy improvement in an AC plasma display panel.,H. K. Dwivedi
Real 3D increases perceived depth over anaglyphs but does not cancel stereo-anomaly.,Frank L. Kooi
Real 3D increases perceived depth over anaglyphs but does not cancel stereo-anomaly.,Daan Dekker
Real 3D increases perceived depth over anaglyphs but does not cancel stereo-anomaly.,Raymond van Ee
Real 3D increases perceived depth over anaglyphs but does not cancel stereo-anomaly.,Anne-Marie Brouwer
A new red colour emitting phosphor - ZnS: Mn co-doped with Ba for electroluminescent (EL) displays.,Panchatcharam Thiyagarajan
A new red colour emitting phosphor - ZnS: Mn co-doped with Ba for electroluminescent (EL) displays.,M. Kottaisamy
A new red colour emitting phosphor - ZnS: Mn co-doped with Ba for electroluminescent (EL) displays.,K. Sethupathi
A new red colour emitting phosphor - ZnS: Mn co-doped with Ba for electroluminescent (EL) displays.,M. S. R. Rao
EEG-based detection and evaluation of fatigue caused by watching 3DTV.,Chunxiao Chen
EEG-based detection and evaluation of fatigue caused by watching 3DTV.,Kun Li
EEG-based detection and evaluation of fatigue caused by watching 3DTV.,Qiuyi Wu
EEG-based detection and evaluation of fatigue caused by watching 3DTV.,Haowen Wang
EEG-based detection and evaluation of fatigue caused by watching 3DTV.,Zhiyu Qian
EEG-based detection and evaluation of fatigue caused by watching 3DTV.,Gail Sudlow
Viewing angle effects from wide field video projection images on the human equilibrium.,Masaki Emoto
Viewing angle effects from wide field video projection images on the human equilibrium.,Kenichiro Masaoka
Viewing angle effects from wide field video projection images on the human equilibrium.,Masayuki Sugawara
Viewing angle effects from wide field video projection images on the human equilibrium.,Fumio Okano
Observation threshold of product represented angles and its related factors.,Fong-Gong Wu
Observation threshold of product represented angles and its related factors.,Eva Chang
Observation threshold of product represented angles and its related factors.,Rain Chen
Effects of Palm and WinCE menu-design for PDA on users' operating performance and subjective preference.,An-Hsiang Wang
Effects of Palm and WinCE menu-design for PDA on users' operating performance and subjective preference.,Yueh-Yuan Lai
Effects of Palm and WinCE menu-design for PDA on users' operating performance and subjective preference.,Cheng-Tung Sun
ns,Lydia M. J. Meesters,Wijnand A. IJsselsteijn,Pieter J. H. Seunti&euml
A new characterization method to define the viewing angle range of matrix displays.,Kees Teunissen
A new characterization method to define the viewing angle range of matrix displays.,Xuefei Zhong
A new characterization method to define the viewing angle range of matrix displays.,Ting Chen
A new characterization method to define the viewing angle range of matrix displays.,Ingrid Heynderickx
How human perceptions of Mura affect LCD market values.,Yueh-Hua Lee
How human perceptions of Mura affect LCD market values.,Kuo-Hao Tang
Synthesis of submicron-sized spherical green phosphors by reverse emulsion method and their application to phosphor inks for ink-jet process in PDP.,Soon Hak Kim
Synthesis of submicron-sized spherical green phosphors by reverse emulsion method and their application to phosphor inks for ink-jet process in PDP.,Yoon Soo Han
Synthesis of submicron-sized spherical green phosphors by reverse emulsion method and their application to phosphor inks for ink-jet process in PDP.,Younghwan Kwon
Synthesis of submicron-sized spherical green phosphors by reverse emulsion method and their application to phosphor inks for ink-jet process in PDP.,Youngjune Hur
Synthesis of submicron-sized spherical green phosphors by reverse emulsion method and their application to phosphor inks for ink-jet process in PDP.,Giseop Kwak
Synthesis of submicron-sized spherical green phosphors by reverse emulsion method and their application to phosphor inks for ink-jet process in PDP.,Byung Ki Hur
Synthesis of submicron-sized spherical green phosphors by reverse emulsion method and their application to phosphor inks for ink-jet process in PDP.,Lee Soon Park
The factor structure of cybersickness.,Susan Bruck
The factor structure of cybersickness.,Paul A. Watters
Visual discomfort of 3D TV: Assessment methods and modeling.,Marc T. M. Lambooij
Visual discomfort of 3D TV: Assessment methods and modeling.,Wijnand A. IJsselsteijn
Visual discomfort of 3D TV: Assessment methods and modeling.,Ingrid Heynderickx
Developing novel liquid crystal technologies for display and photonic applications.,Hari M. Atkuri
Developing novel liquid crystal technologies for display and photonic applications.,Eunice Sok Ping Leong
Developing novel liquid crystal technologies for display and photonic applications.,Jeoungyeon Hwang
Developing novel liquid crystal technologies for display and photonic applications.,Giovanna Palermo
Developing novel liquid crystal technologies for display and photonic applications.,Guangyuan Si
Developing novel liquid crystal technologies for display and photonic applications.,Jenny-Marie Wong
Developing novel liquid crystal technologies for display and photonic applications.,Liang-Chy Chien
Developing novel liquid crystal technologies for display and photonic applications.,Ji Ma
Developing novel liquid crystal technologies for display and photonic applications.,Kaichang Zhou
Developing novel liquid crystal technologies for display and photonic applications.,Yan Jun Liu
Developing novel liquid crystal technologies for display and photonic applications.,Luciano De Sio
Visual gamma correction for LCD displays.,Kaida Xiao
Visual gamma correction for LCD displays.,Chenyang Fu
Visual gamma correction for LCD displays.,Dimosthenis Karatzas
Visual gamma correction for LCD displays.,Sophie M. Wuerger
Optimization of Chinese interface design in motion environments.,Yi-Jan Yau
Optimization of Chinese interface design in motion environments.,Chin-Jung Chao
Optimization of Chinese interface design in motion environments.,Sheue-Ling Hwang
Two-stage dither to enhance gray scales based on real-time motion detection in plasma display panel.,Yao-gong Wang
Two-stage dither to enhance gray scales based on real-time motion detection in plasma display panel.,Xiao-ning Zhang
Two-stage dither to enhance gray scales based on real-time motion detection in plasma display panel.,Zhen-tao Tu
Two-stage dither to enhance gray scales based on real-time motion detection in plasma display panel.,Chun-liang Liu
Effect of the field of view on perceiving world-referenced image motion during concurrent head movements.,Kam Leung Yeung
Effect of the field of view on perceiving world-referenced image motion during concurrent head movements.,Li Li
Subjective evaluation of visual fatigue caused by motion images.,J. Kuze
Subjective evaluation of visual fatigue caused by motion images.,K. Ukai
Effect of sputtering condition on the surface properties of silicon oxide thin films prepared for liquid crystal alignment layers.,Shi-Joon Sung
Effect of sputtering condition on the surface properties of silicon oxide thin films prepared for liquid crystal alignment layers.,Eun-Ae Jung
Effect of sputtering condition on the surface properties of silicon oxide thin films prepared for liquid crystal alignment layers.,Dae-Hwan Kim
Effect of sputtering condition on the surface properties of silicon oxide thin films prepared for liquid crystal alignment layers.,Jin-Kyu Kang
Effect of sputtering condition on the surface properties of silicon oxide thin films prepared for liquid crystal alignment layers.,Kee-Jeong Yang
Effect of sputtering condition on the surface properties of silicon oxide thin films prepared for liquid crystal alignment layers.,Yun Seon Do
Effect of sputtering condition on the surface properties of silicon oxide thin films prepared for liquid crystal alignment layers.,Byeong-Dae Choi
,Zhenbo Deng,Jianjie Zheng,Enyu Zhou,Zheng Chen,Denghui Xu,Yongsheng Wang,Zhaoyue L&uuml
Design of system-on-glass for poly-Si TFT OLEDs using mixed-signals simulation.,Young-Jun Yun
Design of system-on-glass for poly-Si TFT OLEDs using mixed-signals simulation.,Byung-Geun Jun
Design of system-on-glass for poly-Si TFT OLEDs using mixed-signals simulation.,Yong-Kyeom Kim
Design of system-on-glass for poly-Si TFT OLEDs using mixed-signals simulation.,Jung-Won Lee
Design of system-on-glass for poly-Si TFT OLEDs using mixed-signals simulation.,Yong-Min Lee
A distortion-free data hiding scheme for high dynamic range images.,Chung-Min Yu
A distortion-free data hiding scheme for high dynamic range images.,Kuo-Chen Wu
A distortion-free data hiding scheme for high dynamic range images.,Chung-Ming Wang
Power-efficient drive circuit for plasma display panel.,Yoochae Chung
Power-efficient drive circuit for plasma display panel.,Chang-Hyeon Sung
Power-efficient drive circuit for plasma display panel.,Jin-Ho Kim
Power-efficient drive circuit for plasma display panel.,Seung-Min Chae
Power-efficient drive circuit for plasma display panel.,Myung-Je Jeon
Power-efficient drive circuit for plasma display panel.,Bongkoo Kang
Random dot generation scheme using molecular dynamics method for illumination design of a round plane LED source light guide.,Jee-Gong Chang
Random dot generation scheme using molecular dynamics method for illumination design of a round plane LED source light guide.,Yu-Bin Fang
Random dot generation scheme using molecular dynamics method for illumination design of a round plane LED source light guide.,Shin-Pon Ju
Random dot generation scheme using molecular dynamics method for illumination design of a round plane LED source light guide.,Jin-Yuan Hsieh
Investigation of top-emitting organic light-emitting devices with highly saturated color employing metal-mirror structure.,Zhijun Wu
Investigation of top-emitting organic light-emitting devices with highly saturated color employing metal-mirror structure.,Hengqun Guo
Investigation of top-emitting organic light-emitting devices with highly saturated color employing metal-mirror structure.,Jiaxian Wang
Implementation of an LED tile controller for high-quality image display.,Jin-Ho Ahn
Structural characterization and optical properties of dysprosium doped strontium calcium magnesium di-silicate phosphor by solid state reaction method.,Ishwar Prasad Sahu
Structural characterization and optical properties of dysprosium doped strontium calcium magnesium di-silicate phosphor by solid state reaction method.,D. P. Bisen
Structural characterization and optical properties of dysprosium doped strontium calcium magnesium di-silicate phosphor by solid state reaction method.,Nameeta Brahme
Effect of electron transport layer engineering based on blue phosphorescent organic light-emitting diodes.,Bo Young Kim
Effect of electron transport layer engineering based on blue phosphorescent organic light-emitting diodes.,Seok Jae Lee
Effect of electron transport layer engineering based on blue phosphorescent organic light-emitting diodes.,Ja-Ryong Koo
Effect of electron transport layer engineering based on blue phosphorescent organic light-emitting diodes.,Song Eun Lee
Effect of electron transport layer engineering based on blue phosphorescent organic light-emitting diodes.,Kum Hee Lee
Effect of electron transport layer engineering based on blue phosphorescent organic light-emitting diodes.,Seung Soo Yoon
Effect of electron transport layer engineering based on blue phosphorescent organic light-emitting diodes.,Young Kwan Kim
Reading Chinese horizontal/vertical leading display on a liquid-colour display television.,Shuyi Luo
Synthesis and characterization of luminescent Eu(HMAP)<sub>3</sub>&#183,V. B. Taxak
Synthesis and characterization of luminescent Eu(HMAP)<sub>3</sub>&#183,Rajesh Kumar
Synthesis and characterization of luminescent Eu(HMAP)<sub>3</sub>&#183,J. K. Makrandi
Synthesis and characterization of luminescent Eu(HMAP)<sub>3</sub>&#183,S. P. Khatkar
Numerical comparison of LED directivity approximation functions for video displays.,Linas Svilainis
Numerical comparison of LED directivity approximation functions for video displays.,Vytautas Dumbrava
Color image authentication with tamper detection and remedy based on BCH and Bayer Pattern.,Chih-Hung Lin
Color image authentication with tamper detection and remedy based on BCH and Bayer Pattern.,Tzung-Her Chen
Color image authentication with tamper detection and remedy based on BCH and Bayer Pattern.,Chun-Wei Chiu
Flexible-characteristics inspection system for flexible substrates by using image feedback control.,Bor-Jiunn Wen
Flexible-characteristics inspection system for flexible substrates by using image feedback control.,T. S. Liu
An efficient and bright organic white-light-emitting device.,Jing Xiao
An efficient and bright organic white-light-emitting device.,Zhenbo Deng
An efficient and bright organic white-light-emitting device.,Chunjun Liang
An efficient and bright organic white-light-emitting device.,Denghui Xu
An efficient and bright organic white-light-emitting device.,Ying Xu
Influence of wall charge distribution on time lag of address discharge in AC plasma display panels.,M. J. Jeon
